__id,NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,AAAAMMJJ,DHUMEC,QDHUMEC,PMERM,QPMERM,PMERMIN,QPMERMIN,INST,QINST,GLOT,QGLOT,DIFT,QDIFT,DIRT,QDIRT,INFRART,QINFRART,UV,QUV,UV_INDICEX,QUV_INDICEX,SIGMA,QSIGMA,UN,QUN,HUN,QHUN,UX,QUX,HUX,QHUX,UM,QUM,DHUMI40,QDHUMI40,DHUMI80,QDHUMI80,TSVM,QTSVM,ETPMON,QETPMON,ETPGRILLE,QETPGRILLE,ECOULEMENTM,QECOULEMENTM,HNEIGEF,QHNEIGEF,NEIGETOTX,QNEIGETOTX,NEIGETOT06,QNEIGETOT06,NEIG,QNEIG,BROU,QBROU,ORAG,QORAG,GRESIL,QGRESIL,GRELE,QGRELE,ROSEE,QROSEE,VERGLAS,QVERGLAS,SOLNEIGE,QSOLNEIGE,GELEE,QGELEE,FUMEE,QFUMEE,BRUME,QBRUME,ECLAIR,QECLAIR,NB300,QNB300,BA300,QBA300,TMERMIN,QTMERMIN,TMERMAX,QTMERMAX
153,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,9,,,,,3.0,9,,,0.6,9,,,,,167,1,166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,9,,,,,4.7,9,,,0.4,9,,,,,185,1,166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,9,,,,,4.3,9,,,0.8,9,,,,,185,1,185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,9,,,,,2.8,9,,,1.2,9,,,,,185,1,184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,9,,,,,4.6,9,,,0.5,9,,,,,210,1,186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,9,,,,,3.2,9,,,0.6,9,,,,,215,1,204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,9,,,,,2.9,9,,,0.4,9,,,,,223,1,214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,9,,,,,3.0,9,,,0.4,9,,,,,222,1,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,9,,,,,3.9,9,,,0.5,9,,,,,227,1,218,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,38005402,AIGLETON-NIVOSE,45.231,6.038167,2240,2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,9,,,,,3.2,9,,,0.6,9,,,,,226,1,225,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
